Leaf #,Irr-sha,Irr-sun,Un-sha,Un-sun,Temperature
1,0.799,0.807,0.688,0.786,25
2,0.786,0.742,0.493,0.754,25
3,0.784,0.781,0.778,0.758,25
4,0.782,0.769,0.794,0.645,25
5,-,0.742,0.819,0.787,25
1,0.793,0.808,0.814,0.787,35
2,0.799,0.815,0.757,0.749,35
3,0.787,0.79,0.81,0.751,35
4,0.779,0.816,0.783,0.786,35
5,-,0.722,0.75,0.651,35
1,0.792,0.646,0.751,0.807,40
2,0.74,0.726,0.81,0.784,40
3,0.772,0.801,0.794,0.76,40
4,0.788,0.81,0.776,0.672,40
5,-,0.624,0.648,0.744,40
1,0.763,0.627,0.771,0.698,45
2,0.789,0.512,0.759,0.75,45
3,0.8,0.717,0.746,0.747,45
4,0.746,0.636,0.755,0.764,45
5,-,0.682,0.734,0.689,45
1,0.636,0.416,0.73,0.553,47
2,0.729,0.677,0.754,0.637,47
3,0.732,0.715,0.729,0.653,47
4,0.744,0.714,0.682,0.629,47
5,0.734,0.76,0.72,0.54,47
1,0.737,0.618,0.631,0.67,49
2,0.733,0.668,0.631,0.728,49
3,0.766,0.575,0.665,0.768,49
4,0.679,0.727,0.592,0.672,49
5,0.692,0.716,0.566,0.708,49
1,0.342,0.494,0.49,0.349,51
2,0.464,0.58,0.393,0.271,51
3,0.314,0.477,0.67,0.523,51
4,0.402,0.556,0.419,0.446,51
5,-,0.445,0.6,0.475,51
1,0.136,0.394,0.398,0.419,53
2,0.471,0.496,0.562,0.405,53
3,0.544,0.575,0.522,0.557,53
4,0.566,0.601,0.523,0.526,53
5,-,0.502,0.477,0.282,53
1,0.548,0,0.344,0.275,56
2,0.315,0.281,0.536,0.233,56
3,0.553,0,0.571,0.348,56
4,0.365,0.112,0.265,0.374,56
5,-,0.263,0.326,0.533,56
1,0,0.007,0.232,0.136,57
2,0,0.005,0.276,0.307,57
3,0.235,0,0.254,0.229,57
4,0,0.124,0.345,0.379,57
5,-,0.01,0.25,0.263,57
1,0,0.004,0,0,59
2,0,0.001,0,0,59
3,0,0,0,0,59
4,0,0,0,0,59
5,-,0.002,0,0,59
1,0,0,0,0,61
2,0,0.002,0,0,61
3,0,0.007,0,0,61
4,0,0,0,0,61
5,-,0.002,0,0,61
